Agent ID,Rating,Mu,Sigma,Matches,Step,Archived
0016_SAC_2026-02-025,37.32,39.78,0.82,391,N/A,2026-02-25
0019_TDMPC2_2026-02-25_11-59-15,32.50,34.98,0.83,392,25646,2026-02-25
0002_TDMPC2_2026-02-13_12-39-15,29.90,32.33,0.81,865,16000,2026-02-13
0007_TDMPC2_2026-02-16_09-43-57,28.34,30.58,0.75,830,4000,2026-02-16
0006_TDMPC2_2026-02-16_09-43-24,27.57,29.80,0.74,899,4000,2026-02-16
0012_TDMPC2_2026-02-18_22-39-21,27.35,29.60,0.75,476,4000,2026-02-18
0013_TDMPC2_2026-02-18_22-40-19,27.35,29.57,0.74,429,4000,2026-02-18
0008_TDMPC2_2026-02-16_09-44-49,27.29,29.56,0.76,860,4000,2026-02-16
0004_TDMPC2_2026-02-13_12-43-15,27.05,29.39,0.78,843,6600,2026-02-13
0003_TDMPC2_2026-02-13_12-41-48,26.97,29.22,0.75,882,6800,2026-02-13
0014_TDMPC2_2026-02-18_22-40-59,26.94,29.20,0.75,461,4000,2026-02-18
0009_TDMPC2_2026-02-16_09-45-39,26.85,29.15,0.77,846,4000,2026-02-16
0011_TDMPC2_2026-02-18_22-38-31,26.83,29.08,0.75,675,4000,2026-02-18
0010_TDMPC2_2026-02-16_09-46-14,26.76,29.00,0.75,860,4000,2026-02-16
0015_TDMPC2_2026-02-18_22-41-49,26.02,28.26,0.75,620,4000,2026-02-18
0005_TDMPC2_2026-02-13_12-44-36,25.53,27.83,0.77,877,5600,2026-02-13
0001_SAC_2026-01-30_00-57-20,23.94,26.32,0.79,984,N/A,2026-01-30
basic_weak,22.46,24.76,0.77,2044,N/A,2026-01-01
0018_TD3_Final_2026-02-02,21.01,23.17,0.72,348,N/A,2026-02-25
0017_TD3_2036-02-02,20.50,22.63,0.71,349,N/A,2026-02-25
basic_strong,20.06,22.42,0.79,1915,N/A,2026-01-01
