episode,reward
0,-11.127438
1,-13.891194
2,-12.024664
3,-13.715254
4,-11.893279
5,9.1233
6,-14.107988
7,-14.564257
8,-15.635522
9,-12.529755
10,-13.984793
11,-14.026412
12,5.84404
13,-17.43093
14,-17.7192
15,-18.23392
16,-17.411684
17,-11.9702835
18,-5.123978
19,-15.282754
20,-11.011287
21,-3.7484267
22,-17.558699
23,-19.959242
24,-53.33376
25,-58.3583
26,-44.9862
27,-41.56426
28,-43.793488
29,-53.309628
30,-11.748705
31,-11.417857
32,-49.947918
33,-38.644238
34,-43.038734
35,-41.67944
36,-36.76249
37,-42.177814
38,-55.36455
39,-11.6814575
40,-12.219909
41,-11.099874
42,-12.788674
43,-11.76179
44,7.4340477
45,-11.787465
46,-16.30333
47,-18.595068
48,-47.311333
49,-36.899334
50,-46.864304
51,-50.80047
52,-40.915142
53,-40.788986
54,-55.389183
55,-47.89218
56,-53.224583
57,-46.447266
58,-45.74423
59,-11.533373
60,-11.479708
61,-11.839736
62,-11.792964
63,-11.712438
64,-35.175644
65,-0.37593746
66,-46.85683
67,-15.51692
68,-4.923194
69,4.785473
70,-56.39998
71,-36.682312
72,6.619585
73,-51.461052
74,-49.012
75,-42.63616
76,-38.180748
77,-40.793743
78,-11.5545635
79,-22.841587
80,-19.295303
81,-11.753725
82,-13.740341
83,5.587408
84,-45.36967
85,-42.2659
86,-13.605387
87,-16.649813
88,-16.546959
89,-45.878574
90,-45.298275
91,-54.613
92,-36.772694
93,-36.455048
94,-12.351911
95,-11.831486
96,-44.628433
97,-20.630798
98,-16.617887
99,-45.909233
100,-40.30094
101,-11.573801
102,-43.71406
103,-11.93665
104,-11.162598
105,-13.118114
106,-11.587767
107,-51.59243
108,-16.09157
109,-11.231384
110,-11.981301
111,-41.365444
112,-50.640217
113,-53.978943
114,-45.856262
115,-41.06912
116,-56.463497
117,-11.224769
118,-46.458054
119,-45.635746
120,-11.42049
121,8.450134
122,-44.390617
123,-12.5886135
124,-2.001325
125,-5.202134
126,-14.7503395
127,-50.218597
128,3.0600924
129,-41.48185
130,-36.063107
131,-56.25645
132,-48.346848
133,-51.84116
134,-49.867115
135,-14.505106
136,-43.65766
137,-51.673702
138,-11.232324
139,-50.78532
140,-42.314808
141,-13.988747
142,-11.800511
143,-51.80957
144,-12.398211
145,-18.962591
146,-13.728088
147,-11.980889
148,-15.417546
149,-11.280228
150,-31.532398
151,-13.59485
152,-50.694687
153,-14.590132
154,-17.064297
155,-40.273006
156,6.3268723
157,-55.758392
158,-11.089988
159,-37.80435
160,-55.916283
161,-46.346058
162,-51.23354
163,-11.320688
164,-49.373924
165,-3.8776739
166,-12.25463
167,-11.604269
168,-16.233759
169,-37.0937
170,-46.29783
171,-51.445854
172,-46.45851
173,-11.917115
174,-44.15846
175,-52.96038
176,-49.48195
177,-43.856018
178,-45.30681
179,-43.63074
180,-43.479023
181,-44.066483
182,-18.775341
183,-42.381294
184,-11.759226
185,-45.049194
186,-24.190292
187,-12.027046
188,-36.765312
189,-11.675561
190,-37.644936
191,-14.714174
192,-16.938095
193,-13.726632
