episode,reward
0,-11.170467
1,-11.32754
2,-11.243296
3,-11.288368
4,-10.985296
5,-11.082641
6,-12.357692
7,8.813347
8,-12.579447
9,-13.852648
10,-14.384291
11,7.4196672
12,-12.79826
13,-13.428622
14,-13.359093
15,-16.781693
16,-16.09819
17,-14.629096
18,-16.000326
19,-16.366861
20,-11.021021
21,-16.079664
22,-8.375686
23,-12.143388
24,-43.14525
25,-47.292862
26,-49.59104
27,-38.93619
28,-47.676575
29,-46.284424
30,-42.539738
31,-42.156906
32,-10.67169
33,-11.172612
34,-38.685394
35,-47.395226
36,-11.251621
37,-48.04208
38,-41.45073
39,-50.227154
40,-12.51462
41,-35.214985
42,-10.778072
43,-37.447662
44,-38.953312
45,-13.040412
46,-38.43346
47,-12.918533
48,-10.666047
49,-16.124142
50,-48.09656
51,-14.61908
52,-13.92526
53,-19.732286
54,-15.722528
55,-17.570654
56,-47.159718
57,-32.920303
58,-40.073124
59,-35.370567
60,-40.022087
61,-41.398952
62,-14.429107
63,-10.7904005
64,-16.803896
65,-10.822237
66,-46.77803
67,-47.689102
68,-43.456635
69,7.296464
70,-10.874659
71,-38.09986
72,-11.004381
73,-45.698963
74,-51.291927
75,-4.465291
76,-34.071266
77,-40.010612
78,0.4965763
79,-43.36151
80,-15.915967
81,-11.008793
82,-11.364927
83,-13.88245
84,-16.505436
85,-42.031147
86,-15.335594
87,-36.061584
88,-32.738724
89,-48.73256
90,-42.669544
91,-13.645524
92,-40.806297
93,-18.237728
94,-13.792686
95,-10.988371
96,-10.94427
97,-47.89323
98,-50.15977
99,-35.27769
100,-10.771596
101,-11.607868
102,-11.226247
103,-11.296785
104,-39.100525
105,-11.250656
106,-45.89827
107,-38.9219
108,-2.982026
109,-43.453777
110,-11.155545
111,-11.225106
112,-40.88284
113,-47.440914
114,-17.31414
115,-46.2519
116,-33.392185
117,-38.56767
118,-36.35246
119,-16.234917
120,-11.343985
121,-33.977673
122,-9.260481
123,-45.37458
124,-11.574684
125,-38.13638
126,-50.407574
127,-46.769115
128,-36.003803
129,-44.660854
130,9.299052
131,-35.71996
132,-10.922855
133,-49.006935
134,-35.528206
135,-47.97435
136,-10.961653
137,-44.77775
138,-13.944345
139,-29.703922
140,-42.43795
141,-15.513794
142,-41.35489
143,-13.070112
144,-14.764248
145,-13.39237
146,-8.30375
147,-15.733868
148,-45.935455
149,-10.903976
150,-13.335648
151,-14.073298
152,-18.521622
153,-11.826056
154,-13.942913
155,-44.05996
156,-39.105698
157,-46.262535
158,-15.15781
159,-36.036823
160,-11.1819
161,-11.109634
162,-23.020947
163,-48.57918
164,-40.733105
165,-10.659415
166,-10.801289
167,-50.843502
168,7.3782578
169,-13.863071
170,-48.149002
171,-40.53822
172,-18.485958
173,-48.88545
174,-32.73074
175,-36.614494
176,-39.71021
177,-14.115706
178,-41.134148
179,-47.041485
180,-40.121784
181,-46.036377
182,-46.32939
183,-11.172246
184,-13.168976
185,1.9453354
186,-46.254337
187,-38.74899
188,-43.1812
189,-11.3079
190,-15.27383
191,-47.620964
192,-17.531998
193,-37.792534
194,-15.953425
195,8.783603
196,-14.016608
197,7.577819
198,-16.978626
199,-48.070255
200,-14.498963
201,-48.685482
202,-11.094662
203,-46.710136
204,-17.89067
205,-10.765568
206,-34.170204
207,-46.66207
208,-14.182018
209,-16.924862
210,-40.08092
211,-23.693974
212,-15.575093
213,-12.94893
214,-47.510628
215,-11.6496935
216,-45.96027
217,-38.53888
218,-11.551594
219,-3.8985937
220,-10.949583
221,-11.098435
222,-49.91272
223,-45.44694
224,-38.979572
225,-10.819978
226,-36.423325
227,-43.43868
228,-33.53934
229,-48.79078
230,-46.878124
231,-46.480087
232,-14.024418
233,-10.779641
234,-11.100273
235,-46.6589
236,-11.075427
237,-15.363468
238,-13.03545
239,-46.26083
240,-13.872673
241,-41.505165
242,-15.792453
243,-14.101248
244,-39.94545
245,-11.108035
246,-46.913555
247,-38.933823
248,-45.408413
249,-36.710007
250,-11.2689905
251,-37.045353
252,-9.110449
253,-38.571915
254,-42.014
255,-42.695843
256,-13.62813
257,-48.378834
258,-10.828854
259,-10.964456
260,-38.72755
261,-12.654442
262,-11.320906
263,-44.142372
264,-12.815762
265,-41.505074
266,-37.413586
267,-16.27529
268,-33.852848
269,-37.447334
