episode,reward
1,-11.161427
2,-11.038705
3,-11.254229
4,-11.478206
5,-11.17782
6,-12.246687
7,-12.144213
8,-13.018335
9,-11.34164
10,-13.517387
11,-14.983192
12,-13.913871
13,-20.739376
14,-10.439211
15,-11.857551
16,-9.982339
17,-37.300694
18,-47.73467
19,-42.767776
20,-44.304077
21,-45.45406
22,-42.47452
23,-42.76099
24,-40.91741
25,-40.54383
26,-45.41285
27,-13.921588
28,9.861387
29,-43.62471
30,-11.313999
31,-42.587753
32,-13.505033
33,-13.596081
34,9.735681
35,-11.624727
36,-14.092229
37,-13.77129
38,-13.4103775
39,9.366957
40,-13.320267
41,-41.10264
42,-29.239573
43,-12.877678
44,-11.244972
45,7.256648
46,-23.0133
47,-29.543823
48,6.9586196
49,-18.79975
50,-27.817879
51,-31.649157
52,-39.521072
53,-15.487791
54,-28.434149
55,-41.631344
56,-34.730476
57,-33.0441
58,-11.405199
59,-12.0531645
60,-28.204494
61,-11.0748
62,4.560099
63,-19.754343
64,-15.732051
65,9.278303
66,-12.759325
67,-36.89362
68,8.721283
69,-36.119602
70,-37.15036
71,-14.221696
72,-40.30177
73,-14.883001
74,-13.222013
75,-33.940605
76,9.3544
77,-12.162169
78,-12.377274
79,-30.176197
80,-6.4771447
81,-28.571247
82,-37.011566
83,-15.37137
84,-13.257221
85,-10.997471
86,9.344667
87,-36.87759
88,-34.306557
89,-14.952394
90,-35.62352
91,2.543363
92,-7.015938
93,-11.800622
94,7.1639023
95,-10.423002
96,-15.736437
97,-27.379059
98,2.3714275
99,-10.568047
100,-13.904282
101,9.2603035
102,-11.542549
103,-24.703514
104,-11.688999
105,-23.905954
106,-12.376196
107,-18.679806
108,-12.970682
109,-11.276177
110,-19.797714
111,9.189734
112,-12.967469
113,5.227016
114,-10.662782
115,9.495642
116,-17.512266
117,-11.158288
118,-17.708654
119,-14.625244
120,-14.712788
121,-11.092001
122,-32.36221
123,-26.232494
124,3.0722551
125,-12.127209
126,-14.229326
127,9.493014
128,-11.247833
129,-0.59734553
130,-11.1823845
131,-11.2301655
132,-16.011688
133,-12.017562
134,-14.289059
135,-11.001791
136,-13.178195
137,-5.273526
138,-29.120142
139,8.832938
140,-13.678978
141,2.3664389
142,-4.638092
143,-11.917595
144,7.3553295
145,6.2507
146,9.2499
147,-11.320362
148,9.341059
149,-12.5778
150,-11.492941
151,-11.862935
152,-18.112123
153,-13.188877
154,-16.285187
155,-11.903245
156,-17.613688
157,-11.897613
158,-17.057978
159,10.0
160,-13.140682
161,-11.275113
162,-11.811516
163,-10.811321
164,-17.465382
165,-12.089129
166,-18.180714
167,-27.888754
168,-2.1265125
169,-13.747187
170,-11.996732
171,-10.670319
172,-12.385485
173,9.705061
174,-12.719805
175,-11.63552
176,-12.401844
177,-11.191395
178,-11.129771
179,-6.635349
180,-14.861746
181,-12.237728
182,-11.191851
183,-11.838757
184,-25.458609
185,-12.58227
186,-8.504774
187,-15.217144
188,-10.67354
189,-11.945559
190,9.268248
191,-10.936653
192,-12.959208
193,9.712054
194,-10.774035
195,-10.879018
196,5.6041794
197,-13.584414
198,9.129049
199,-17.317324
200,-6.5654674
201,-11.1052475
202,-9.042205
203,9.124804
204,-13.764743
205,-11.498844
206,-13.241235
207,-16.253654
208,-10.843459
209,-13.280268
210,-14.177082
211,-15.101668
212,-16.442413
213,-11.276621
214,-11.224639
215,-11.705547
216,-18.902634
217,-11.558888
218,-11.548017
219,-15.104513
220,-13.780041
221,-11.682375
222,-11.418412
223,-11.645078
224,-11.5409565
225,-1.0671084
226,-9.537992
227,-13.517968
228,-11.084228
229,-12.686406
230,-10.64131
231,9.412987
232,-10.013995
233,-11.455369
234,3.5004177
235,5.9148507
236,-13.234795
237,-16.110884
238,-16.37581
239,-9.181948
240,-10.6942
241,-11.923969
242,9.638971
243,-18.12486
244,-16.263994
245,-18.25586
246,-11.701854
247,-10.927923
248,-15.983323
249,-10.600061
250,9.241573
251,-16.939674
252,-7.37844
253,-13.093927
254,-1.2943379
255,5.8645763
256,-11.449003
257,-13.535391
258,-10.829823
259,-12.151073
260,-11.652482
261,9.401758
262,8.422612
263,-14.151224
264,-7.7955685
