episode,reward
1,-11.158343
2,-12.787053
3,-10.973583
4,-11.062828
5,-11.245872
6,-12.742092
7,-13.711023
8,7.7079983
9,-14.573206
10,6.185479
11,-16.118418
12,-17.055984
13,-17.640476
14,-1.971478
15,-16.642344
16,-3.2448115
17,-42.330414
18,-32.622765
19,-34.7292
20,-30.424911
21,-33.980377
22,-33.60287
23,-38.156372
24,-28.393559
25,-34.744095
26,-11.273464
27,-34.314667
28,-10.86077
29,-12.489449
30,-40.095184
31,-11.111631
32,-32.63725
33,-24.462122
34,-14.863192
35,-11.7549515
36,-11.581624
37,-14.537419
38,-21.02567
39,-12.241436
40,-46.210754
41,-41.365353
42,-27.665054
43,-11.293913
44,-11.8234005
45,-16.71629
46,-10.391187
47,-44.661957
48,-28.69987
49,-44.09737
50,-10.9079075
51,-41.093204
52,-11.176174
53,-11.172462
54,-32.463898
55,-24.748604
56,-32.11229
57,-36.972004
58,-40.44297
59,-11.477837
60,-33.400585
61,8.811318
62,-4.9737124
63,-7.22445
64,-11.53454
65,-11.787765
66,-32.352215
67,6.639842
68,-24.003155
69,-33.427402
70,-28.00696
71,-11.685965
72,-11.334999
73,-36.80888
74,8.99902
75,-34.189888
76,-39.962486
77,-16.580889
78,-10.824137
79,-21.477568
80,-36.260433
81,-12.983819
82,-32.14218
83,-26.545795
84,-38.710243
85,-35.53209
86,-23.658834
87,-10.877282
88,-11.525608
89,-40.338165
90,-16.496126
91,-11.460662
92,-11.174622
93,-13.91588
94,-23.99279
95,-27.357094
96,7.3121133
97,-6.72773
98,-44.28925
99,9.202254
100,-38.857445
101,-36.850483
102,-25.482998
103,-11.479355
104,-30.87544
105,-29.393717
106,6.8911037
107,-47.135777
108,-9.867477
109,-31.53116
110,-36.958134
111,-27.349098
112,-12.346816
113,-31.91182
114,-11.185327
115,-9.615595
116,-12.394437
117,-40.708134
118,-35.096798
119,-7.0410438
120,-11.220669
121,-33.238686
122,-5.1292524
123,-13.454616
124,-11.330174
125,-33.013233
126,-16.156929
127,-10.202354
128,-26.764168
129,-8.22262
130,-34.008247
131,-14.346088
132,-37.877777
133,-9.8953905
134,-19.2027
135,-32.951275
136,-35.975536
137,-13.261711
138,7.704091
139,-31.705515
140,-34.435318
141,-15.305252
142,-13.0015
143,-12.717166
144,-37.17087
145,-49.947792
146,-7.0620575
147,-23.949207
148,-28.976831
149,-15.757328
150,-30.36963
151,-29.880419
152,-28.567354
153,-11.124558
154,-29.589445
155,-11.574487
156,-19.394201
157,-34.456326
158,-32.8927
159,7.553978
160,-17.247309
161,-27.474539
162,-14.0942745
163,-33.800648
164,-11.314771
165,-10.986126
166,-17.756021
167,-31.968182
168,-24.160358
169,8.378471
170,-30.7031
171,-42.935314
172,-14.231868
173,-30.745096
174,-12.157245
175,-25.69228
176,-35.188026
177,-44.997223
178,5.325561
179,-25.3665
180,-27.631454
181,-34.54644
182,-26.029835
183,-33.137005
184,-34.64283
185,-37.259537
186,-14.809333
187,-10.933193
188,-35.69547
189,-11.718983
190,-14.393328
191,-11.654487
192,-15.020237
193,-14.440483
194,7.864579
195,-33.59522
196,-3.1980188
197,-28.53757
198,-10.814585
199,-17.375614
200,-10.989563
201,-15.630876
202,-37.26143
203,-34.85624
204,-16.15207
205,-26.787237
206,-25.750275
207,-34.75754
208,9.39563
209,-33.961502
210,-35.17178
211,-12.819763
212,-11.842594
213,-24.31752
214,-26.725893
215,-32.861004
216,8.275797
217,5.0317187
218,-40.70933
219,-11.046401
220,-25.349466
221,-26.67646
222,-11.506489
223,-17.892178
224,-34.80735
225,-34.124317
226,-11.543093
227,-40.49065
228,-12.677876
229,-12.125848
230,-5.637764
231,-37.118774
232,-28.55732
233,-11.06377
234,-33.447704
235,-15.460265
236,-17.801126
237,-11.239581
238,-11.495641
239,-37.98334
240,-38.36462
241,-44.225666
242,-11.058168
243,-17.259045
244,-11.833827
245,-27.10406
246,-28.765776
247,-10.488443
248,-40.007324
249,-34.03473
250,-11.080629
251,-31.15384
252,-11.256204
253,-10.864841
254,-24.402819
255,-15.663197
256,-35.150436
257,-30.12736
258,-39.441776
259,-10.786368
260,-38.87186
261,-34.520065
262,-1.8526459
263,-18.378012
264,-11.444001
265,-26.424646
266,-12.407145
267,-31.518452
268,-11.174102
269,-36.800926
270,-11.276732
271,-24.623266
272,-12.803131
273,-10.9345665
274,-34.727177
275,-16.850985
276,-26.085007
277,-32.04198
278,-11.1171465
279,-45.80606
280,8.964883
281,-24.416746
282,-12.54252
283,-36.015736
