episode,reward
1,-11.363813
2,-14.009778
3,-13.814942
4,-14.027071
5,-14.124621
6,-14.65582
7,-12.56735
8,-14.428134
9,-15.349844
10,8.62122
11,-18.027012
12,0.35641575
13,3.073794
14,-18.102154
15,-31.29649
16,-10.668164
17,-54.174976
18,-51.6115
19,-50.827488
20,-45.839607
21,-11.630098
22,-45.21087
23,-50.9804
24,-33.499348
25,-52.34518
26,-59.07443
27,-47.119
28,-15.173202
29,-49.15289
30,-11.991046
31,-12.825875
32,-41.39347
33,-47.568607
34,-48.424133
35,-14.001478
36,-11.264304
37,-55.72356
38,-59.489643
39,-20.167818
40,-16.265059
41,-3.7465875
42,-21.198368
43,-11.872211
44,-23.26801
45,-47.092648
46,-3.3953483
47,-9.415089
48,-51.28003
49,-12.051235
50,-49.85103
51,-56.635323
52,-16.020752
53,-11.608594
54,7.6982946
55,-46.853146
56,-42.430786
57,-32.862988
58,-39.776447
59,-11.676475
60,-11.995983
61,-55.582214
62,-42.86073
63,-44.36127
64,-41.169495
65,-12.023558
66,-56.225903
67,-1.0526457
68,-11.765843
69,-46.640892
70,-41.898438
71,-11.305698
72,-38.672054
73,-12.84032
74,6.9881616
75,-14.409933
76,-45.452374
77,-11.970459
78,-36.622276
79,-17.430992
80,-39.894524
81,-11.627309
82,-11.326464
83,-35.374485
84,-9.136332
85,-58.96411
86,-53.914932
87,-11.33857
88,-11.457916
89,-40.374947
90,-12.106144
91,-44.020435
92,-56.179886
93,-11.171542
94,-39.09605
95,9.211696
96,-47.77661
97,-47.436234
98,-42.119648
99,-13.127947
100,-39.644497
101,-44.64094
102,7.9171925
103,-13.757028
104,-12.780517
105,-11.277491
106,-47.961697
107,-41.367046
108,-48.50235
109,-13.538351
110,-60.69855
111,9.438424
112,-14.9622345
113,-50.91727
114,-53.68699
115,-11.329641
116,-55.479122
117,8.272212
118,-62.01851
119,-3.4691074
120,-11.217741
121,-11.52461
122,-40.567703
123,-16.882174
124,-37.876057
125,-45.24766
126,-56.253582
127,-37.657085
128,-11.211747
129,-12.01805
130,-11.815228
131,-23.357063
132,-57.175735
133,-39.855347
134,-34.588234
135,-11.9772415
136,-16.200348
137,-11.691688
138,-58.386925
139,-48.604313
140,7.560665
141,-36.76803
142,-11.280757
143,-11.367078
144,-51.257652
145,-58.551712
146,-16.335817
147,-11.338387
148,-50.704124
149,-17.482536
150,-14.483905
151,-55.69387
152,-46.258694
153,-61.106796
154,-11.740432
155,-55.328022
156,8.7768345
157,-11.709326
158,-33.187153
159,8.081534
160,-43.516106
161,-42.372658
162,-14.162458
163,-12.130068
164,-52.40318
165,-18.063795
166,-53.391117
167,-39.54135
168,-51.821857
169,-50.551758
170,-11.843822
171,-47.21087
172,-12.614508
173,-21.868076
174,-57.4964
175,8.682537
176,6.097541
177,-12.998501
